Year,Sample Keyword,Total Papers
1978,,9
1986,,9
1987,"main,database,systems,performance,recovery,declining,cost,need,high,recently,spired,research,massive,amounts,ability,store,complete,databases,recognized",9
1987,"learning,team,problems,elements,competition,cooperation,present,game,stochastic,automata,adaptive,behavior,theoretical,neural,often,described,terms,approach,network",9
1988,"semantics,dataloga,logic,updates,datalog,w,p,states,show,need,control,recognized,particularly,evident,one,focuses,allowing,paper,propose",9
1989,"experimental,work,cryptographic,protection,databases,software,database,experiment,natural,language,dictionary,spanish,verbs,tentative,conclusion,overhead,cost,computing,encrypted",9
1990,,9
1991,"tutorial,due,interbase,notes,based,issue,title,also,book,special,acknowledgements,march,ieee,data,engineering,edited,author,upcoming,come",9
1992,"classroom,uses,computer,central,knowledge,design,scardamalia,bereiter,communal,database,play,important,role,educational,experiments,levin,riel,use,article",9
1992,,9
1993,,9
1995,"databases,database,interoperation,different,dbs,components,query,interactive,vision,infrastructure,provide,number,describes,among,module,access,translators,data,realize",9
1995,"transformation,hierarchical,parallel,algorithms,structures,recognition,traffic,illustrated,analysis,paper,presents,efficient,evaluation,maps,onto,code,trees,different,height",9
1996,,18
1997,,9
1998,"coordination,subsystems,properties,application,technology,agent,guarantees,database,functionality,advanced,c,simulation,councils,cim,means,enforcing,dependencies,autonomous,propose",9
1998,,9
1999,"features,semantic,image,retrieval,complex,similarity,queries,describing,information,index,mechanism,support,three,visual,keywords,signature,file,hashing,also",9
1999,,9
2000,"game,knowledge,educational,games,relationship,study,nutrition,label,methods,board,abstract,last,several,decades,increase,development,use,classroom,literature",9
2000,"games,function,shapley,gain,game,cooperative,indexed,set,strategy,abstract,considered,monderer,econom,player,deviation,equal,prove,payoff,functions",9
2000,,9
2000,"existence,maxmin,recursive,games,one,sided,information",9
2001,"reasoning,paper,waypoint,graph,discusses,presents,based,typically,present,action,games,concepts,reasoned,demonstrates,relation,tactics,shows,develop,pick",9
2002,,18
2002,"data,database,query,multiple,nodes,seek,workload,optimal,physical,design,important,parallel,system,horizontally,partitioned,among,independent,automate,process",9
2002,"paper,proposes,conceptual,framework,examining,computer,structure,applies,massive,multiplayer,everquest",9
2003,,27
2003,"logic,analyze,games,bringing,together,two,viewpoints,jaakko,hintikka,work,semantics,epistemic,process,link,theory",9
2003,"results,information,retrieval,returning,relevant,query,popular,paradigm,discuss,challenges,investigate,several,approaches,enable,databases,including,adaptations,known,techniques",9
